,FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,NUMERO ACCIONES,VALOR EFECTIVO,PROCEDENCIA
8,2023-01-03,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.05,2000,2100,Q
9,2023-01-03,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
10,2023-01-03,CERVECERIA NACIONAL CN S A,ACCIONES,1,55,102,5610,G
12,2023-01-03,CERVECERIA NACIONAL CN S A,ACCIONES,1,55,10,550,Q
22,2023-01-03,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98.5,1,98.5,Q
34,2023-01-04,CERVECERIA NACIONAL CN S A,ACCIONES,1,58,2,116,Q
35,2023-01-04,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,2,196,Q
36,2023-01-04,CERVECERIA NACIONAL CN S A,ACCIONES,1,58,17,986,Q
38,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,450,967.5,G
40,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,150,322.5,G
42,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,912,1960.8,G
44,2023-01-04,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.06,100,106,Q
45,2023-01-04,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,12,1176,Q
46,2023-01-04,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.05,300,315,G
47,2023-01-04,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
48,2023-01-04,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.05,2200,2310,G
50,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,3701,7920.14,Q
52,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,30000,64500,Q
54,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,20000,43000,Q
56,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.16,924,1995.84,Q
58,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,6347,13582.58,Q
60,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,225,483.75,Q
62,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,241,515.74,Q
64,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,912,1951.68,Q
66,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,1000,2150,Q
68,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,2741,5865.74,Q
70,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,5551,11879.14,Q
72,2023-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,2350,5052.5,Q
76,2023-01-04,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.95,580,551,Q
77,2023-01-04,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.88,100,88,Q
78,2023-01-04,BANCO PICHINCHA C.A.,ACCIONES,100,90,6,540,Q
79,2023-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,220,473,Q
80,2023-01-05,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
81,2023-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,3636,7781.04,Q
83,2023-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,400,860,Q
85,2023-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,412,885.8,Q
87,2023-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,1034,2212.76,Q
89,2023-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,1401,2998.14,Q
91,2023-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,15414,32985.96,Q
93,2023-01-05,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,13456,28795.84,Q
95,2023-01-05,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.06,2800,2968,G
97,2023-01-05,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.07,13865,14835.55,Q
109,2023-01-05,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,2,196,Q
111,2023-01-05,HOLCIM ECUADOR S.A.,ACCIONES,3,51,760,38760,Q
112,2023-01-06,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,270,297,Q
113,2023-01-06,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.88,114,100.32,Q
114,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,2791,6000.65,Q
115,2023-01-06,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.95,737,700.15,Q
116,2023-01-06,CORPORACION FAVORITA C.A.,ACCIONES,1,2.16,126,272.16,Q
117,2023-01-06,HOLCIM ECUADOR S.A.,ACCIONES,3,56,50,2800,G
